ID_FC,FC,FC Age,FC Age Minimum,FC Age Maximum,FC Age Category,FC estimate Biological Sex,FC (point estimate) height,FC height min estimated,FC height max estimated,FC Recovery Location,FC Estimated Date of Death/Burial,FC Recovery Date,Unnamed: 0,Name,Age,Sex,Personal effects,ID_MP,biolsex_score,age_v1_score,age_v2_score,Final Score T1,Final Score T2
FC-1063,SUK37-RP1-B001,,50,,Adult,Female,,143.0,151.0,Sukhumi,,,1010,"30203,0000",64,Female,,MP-1011,0.98871604,0.01148852,0.01881201,0.0113588839998608,0.0185997360316404
FC-1063,SUK37-RP1-B001,,50,,Adult,Female,,143.0,151.0,Sukhumi,,,299,"842,0000",64,Female,1.0,MP-300,0.98871604,0.01148852,0.01881201,0.0113588839998608,0.0185997360316404
FC-1063,SUK37-RP1-B001,,50,,Adult,Female,,143.0,151.0,Sukhumi,,,727,"888,0000",64,Female,2.0,MP-728,0.98871604,0.01148852,0.01881201,0.0113588839998608,0.0185997360316404
FC-1024,MAC03-RP2-B006,,35,55,Adult,Female,,153.0,160.0,Machara,,31/07/2017,439,"819,0000",58,Female,2.0,MP-440,0.98871604,0.01612944,0.01852369,0.015947436044217597,0.0183146694229876
FC-1024,MAC03-RP2-B006,,35,55,Adult,Female,,153.0,160.0,Machara,,31/07/2017,301,"936,0000",58,Female,2.0,MP-302,0.98871604,0.01612944,0.01852369,0.015947436044217597,0.0183146694229876
FC-1063,SUK37-RP1-B001,,50,,Adult,Female,,143.0,151.0,Sukhumi,,,228,"768,0000",63,Female,2.0,MP-229,0.98871604,0.01232705,0.01848372,0.012187952060882001,0.018275150442868798
FC-1063,SUK37-RP1-B001,,50,,Adult,Female,,143.0,151.0,Sukhumi,,,47,"760,0000",63,Female,2.0,MP-48,0.98871604,0.01232705,0.01848372,0.012187952060882001,0.018275150442868798
FC-1063,SUK37-RP1-B001,,50,,Adult,Female,,143.0,151.0,Sukhumi,,,824,"809,0000",63,Female,2.0,MP-825,0.98871604,0.01232705,0.01848372,0.012187952060882001,0.018275150442868798
FC-1063,SUK37-RP1-B001,,50,,Adult,Female,,143.0,151.0,Sukhumi,,,19,"779,0000",63,Female,1.0,MP-20,0.98871604,0.01232705,0.01848372,0.012187952060882001,0.018275150442868798
FC-1063,SUK37-RP1-B001,,50,,Adult,Female,,143.0,151.0,Sukhumi,,,697,"807,0000",62,Female,1.0,MP-698,0.98871604,0.01314908,0.01810988,0.0130007063072432,0.0179055288384752
FC-1063,SUK37-RP1-B001,,50,,Adult,Female,,143.0,151.0,Sukhumi,,,917,"837,0000",62,Female,2.0,MP-918,0.98871604,0.01314908,0.01810988,0.0130007063072432,0.0179055288384752
FC-1063,SUK37-RP1-B001,,50,,Adult,Female,,143.0,151.0,Sukhumi,,,918,"797,0000",62,Female,1.0,MP-919,0.98871604,0.01314908,0.01810988,0.0130007063072432,0.0179055288384752
FC-1063,SUK37-RP1-B001,,50,,Adult,Female,,143.0,151.0,Sukhumi,,,232,"897,0000",61,Female,2.0,MP-233,0.98871604,0.0139469,0.01768842,0.013789523738276,0.0174888245762568
FC-1063,SUK37-RP1-B001,,50,,Adult,Female,,143.0,151.0,Sukhumi,,,231,"802,0000",61,Female,1.0,MP-232,0.98871604,0.0139469,0.01768842,0.013789523738276,0.0174888245762568
FC-1063,SUK37-RP1-B001,,50,,Adult,Female,,143.0,151.0,Sukhumi,,,521,"759,0000",61,Female,1.0,MP-522,0.98871604,0.0139469,0.01768842,0.013789523738276,0.0174888245762568
FC-1063,SUK37-RP1-B001,,50,,Adult,Female,,143.0,151.0,Sukhumi,,,826,"763,0000",60,Female,2.0,MP-827,0.98871604,0.01471348,0.01721798,0.014547453680219199,0.017023693002399202
FC-1063,SUK37-RP1-B001,,50,,Adult,Female,,143.0,151.0,Sukhumi,,,349,"766,0000",60,Female,2.0,MP-350,0.98871604,0.01471348,0.01721798,0.014547453680219199,0.017023693002399202
FC-1063,SUK37-RP1-B001,,50,,Adult,Female,,143.0,151.0,Sukhumi,,,730,"912,0000",60,Female,1.0,MP-731,0.98871604,0.01471348,0.01721798,0.014547453680219199,0.017023693002399202
